               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11767,            0.082388,             0.04074,           0.0054943,             0.39915,           0.0041405,          0.00089071,             0.11386,             0.08692,            0.035576,              0.0928,              0.0008,              0.0008
                   1,             0.10642,            0.090324,            0.033714,             0.73369,            0.084674,             0.05487,            0.011982,            0.097964,             0.10174,             0.02493,            0.084532,           0.0015317,           0.0015317
                   2,             0.09649,            0.099462,             0.02626,             0.75594,              0.1567,            0.091656,            0.021373,            0.087531,             0.10819,            0.016619,            0.076085,           0.0020852,           0.0020852
                   3,            0.087488,            0.088335,             0.01938,             0.70887,             0.14981,            0.044801,            0.011679,            0.087007,             0.11511,            0.012769,            0.067461,           0.0024605,           0.0024605
                   4,            0.081949,            0.086331,            0.016837,              0.8127,             0.16782,              0.2019,            0.063622,            0.075753,             0.11341,             0.01088,            0.058658,           0.0026576,           0.0026576
                   5,            0.074575,             0.08172,            0.014098,             0.83488,             0.17135,             0.28924,            0.088522,            0.071046,             0.10279,            0.010385,            0.049677,           0.0026765,           0.0026765
                   6,            0.072336,            0.074492,             0.01432,             0.83789,             0.20345,             0.33514,             0.12844,            0.066283,             0.09375,            0.010256,            0.040517,           0.0025172,           0.0025172
                   7,            0.067788,            0.073598,            0.013716,             0.17429,             0.65113,             0.44957,             0.17968,            0.063223,            0.085663,            0.010186,             0.03118,           0.0021797,           0.0021797
                   8,             0.06428,            0.070585,            0.014484,             0.18758,               0.699,             0.47865,             0.20395,            0.056963,            0.078543,            0.010132,            0.021664,            0.001664,            0.001664
                   9,            0.060004,            0.070899,            0.013717,             0.20123,             0.73233,             0.50081,             0.21109,            0.055715,            0.075677,            0.010032,             0.01197,           0.0009701,           0.0009701
